episode,avg_qoe,stall_ratio,served_ratio,util_per_chunk,switch_rate,pol_loss,val_loss,entropy,sec
0,0.3664,0.0000,0.7167,0.8666,0.4225,-0.0118,101.4695,7.2200,1
1,0.3846,0.0000,0.7042,0.8689,0.4275,-0.0107,95.4085,6.8876,2
2,0.3920,0.0046,0.6958,0.8766,0.4363,-0.0083,88.0533,6.8845,2
3,0.4191,0.0000,0.7083,0.8782,0.4542,-0.0070,89.8698,6.9460,3
4,0.4344,0.0000,0.7125,0.8807,0.4800,-0.0154,93.0370,6.6345,4
5,0.4399,0.0000,0.6792,0.8832,0.4521,-0.0111,90.2358,6.5124,5
6,0.4765,0.0000,0.7250,0.8855,0.4758,-0.0005,100.7844,6.6265,5
7,0.4383,0.0004,0.6417,0.8962,0.4358,0.0037,81.6485,6.1155,6
8,0.4873,0.0000,0.7125,0.8904,0.4829,-0.0065,96.0358,6.4569,7
9,0.4524,0.0008,0.6583,0.8914,0.4429,-0.0051,81.4129,6.3655,8
10,0.4836,0.0000,0.6958,0.8950,0.4763,0.0053,85.4769,6.2482,8
11,0.4839,0.0000,0.6917,0.8973,0.4754,-0.0075,79.0067,6.3143,9
12,0.5020,0.0000,0.7083,0.9007,0.4725,-0.0150,81.0520,6.2004,10
13,0.5353,0.0000,0.7375,0.9061,0.4921,-0.0008,91.8177,6.3560,11
14,0.5373,0.0000,0.7250,0.9137,0.4708,0.0014,88.4472,6.3932,12
15,0.5118,0.0000,0.6917,0.9065,0.4771,-0.0036,72.3241,5.9646,12
16,0.5403,0.0000,0.7375,0.9037,0.5033,0.0047,78.9884,6.3340,13
17,0.5223,0.0000,0.7125,0.9075,0.4829,-0.0034,67.9091,6.1599,14
18,0.5021,0.0004,0.6750,0.9107,0.4554,-0.0037,56.9065,5.9266,15
19,0.5505,0.0000,0.7292,0.9187,0.4846,0.0072,69.7115,6.0471,15
20,0.5440,0.0000,0.7083,0.9256,0.4629,-0.0130,64.4125,5.8580,16
21,0.5524,0.0000,0.7292,0.9192,0.4863,-0.0118,65.8455,6.0336,17
22,0.5159,0.0000,0.6708,0.9255,0.4396,-0.0130,50.1813,5.4458,18
23,0.5648,0.0004,0.7083,0.9339,0.4296,-0.0028,63.1455,5.5437,18
24,0.5611,0.0000,0.7042,0.9376,0.4246,-0.0131,58.5584,5.6809,19
25,0.5717,0.0000,0.7000,0.9415,0.4117,-0.0088,58.5044,5.3613,20
